P1T1	P2T1	P1T2	P2T2	Score1	Score2
101		25		4	2
170		4		7	12
28		137		5	8
163		78		3	2
176		101		15	19
66		81		12	15
69		92		4	9
163		147		19	18
47		70		5	20
185		127		9	4
176		92		18	10
123		176		6	5
149		81		7	16
175		147		7	6
51		46		4	2
137		69		7	3
163		69		7	9
114		38		7	5
182		147		3	5
151		38		9	12
92		78		8	15
185		176		10	5
25		99		11	6
182		99		11	4
114		159		4	3
127		110		19	16
140		185		9	7
149		53		6	16
25		159		15	6
47		66		8	10
109		174		12	18
28		51		2	4
159		53		3	9
110		51		14	12
170		127		8	10
109		175		8	11
78		149		4	5
175		149		6	1
69		28		13	3
154		109		3	4
110		140		19	11
28		174		11	16
123		151		11	13
70		114		2	6
78		110		17	2
185		70		17	16
191		67		14	5
99		99		17	10
174		46		9	17
81		140		5	3
109		92		12	5
191		127		5	1
46		53		7	9
163		67		5	9
174		61		18	19
81		28		20	16
99		110		13	19
78		99		19	17
140		137		8	10
127		28		5	4
175		182		14	11
176		137		13	11
9		99		3	7
139		19		8	1
176		69		3	7
174		170		15	13
28		139		17	12
4		175		0	6
61		67		19	11
25		147		3	1
185		92		16	3
191		140		10	4
46		54		13	12
53		174		14	11
81		159		3	1
78		38		6	15
92		54		13	15
146		7		3	7
140		170		3	4
101		110		3	7
123		123		16	20
81		28		8	6
151		78		2	5
78		170		15	2
159		114		4	7
46		170		5	4
69		54		11	5
81		139		1	5
176		25		4	8
149		174		5	3
163		110		6	8
123		19		10	16
28		140		11	12
19		54		1	5
123		114		5	4
46		191		13	9
67		81		4	5
38		38		12	8
51		175		4	9
38		185		5	8
54		92		12	9
19		19		11	4
163		149		14	11
38		101		11	14
53		67		13	5
151		147		7	3
28		151		11	10
175		146		11	14
67		25		6	14
92		110		2	4
137		19		2	7
139		92		18	10
46		146		13	7
47		176		10	15
114		151		13	11
147		172		10	7
54		54		20	16
123		66		4	2
191		7		6	7
172		182		9	4
19		53		7	18
53		51		6	4
175		81		5	1
182		170		8	13
174		51		10	6
109		7		9	15
54		7		6	11
4		99		13	6
174		176		5	0
147		53		9	12
4		159		8	7
185		53		2	6
69		175		1	13
9		47		11	17
51		139		0	3
19		182		7	6
51		78		1	6
70		92		16	6
176		66		17	19
81		61		3	4
4		182		2	6
114		163		11	15
54		176		9	8
101		81		1	3
123		61		15	14
139		25		5	3
69		9		10	7
185		28		19	6
151		51		18	5
109		4		1	9
78		170		16	15
81		191		12	4
61		174		19	11
127		159		1	4
139		19		9	3
176		70		14	20
170		151		14	8
28		101		10	12
140		28		16	12
127		70		1	5
123		159		6	2
46		191		8	6
47		185		18	19
61		140		5	10
154		9		9	1
170		54		8	18
46		7		9	2
61		174		8	4
110		146		16	19
81		176		12	9
53		66		6	8
159		174		12	19
172		175		7	18
51		146		5	6
101		101		8	7
191		28		16	7
47		9		18	6
9		101		2	6
70		175		3	11
151		99		6	8
92		154		5	6
19		182		4	1
28		151		2	6
191		54		11	15
175		69		16	7
123		140		7	11
149		38		10	16
19		51		7	6
109		185		1	9
81		53		9	15
175		53		15	16
149		191		7	9
19		78		2	6
66		99		13	6
46		25		3	2
127		127		3	2
137		174		7	12
70		110		11	5
170		38		9	10
159		123		11	2
61		9		17	6
53		127		10	3
67		176		8	5
140		151		1	7
140		81		11	13
139		53		10	8
110		70		3	1
114		61		8	13
78		139		12	15
69		191		12	15
53		47		2	5
123		69		5	4
174		147		11	17
67		109		3	7
4		66		6	2
154		154		8	7
139		191		11	2
4		53		3	6
172		38		7	18
25		172		14	8
70		54		4	1
61		146		7	6
70		54		14	17
191		185		4	1
67		28		1	6
53		47		16	14
151		175		6	15
7		28		14	11
4		101		9	7
61		67		7	5
176		101		4	5
137		109		13	11
176		170		1	5
147		81		18	15
51		147		2	5
170		114		10	8
151		176		8	15
172		146		13	19
109		70		3	7
101		127		11	8
109		28		3	0
140		127		15	14
70		92		12	2
191		123		9	3
92		92		14	17
146		151		7	8
163		127		5	2
176		147		2	4
46		127		19	5
137		174		3	7
28		67		4	7
19		101		4	6
139		114		5	7
81		175		18	20
175		101		8	5
78		61		4	7
47		46		15	9
66		19		3	1
174		19		17	9
154		92		8	9
154		149		17	15
69		174		3	8
139		154		4	0
92		175		10	19
185		81		14	10
19		185		7	6
185		47		13	19
127		101		2	7
101		109		16	11
28		176		8	19
185		151		8	10
114		163		13	14
127		172		16	20
53		123		2	4
123		47		16	10
110		147		2	4
92		149		13	16
4		92		6	2
47		38		6	2
47		101		1	4
81		137		7	1
19		69		17	19
174		53		13	12
146		185		2	5
61		127		15	14
182		38		12	16
137		92		2	3
69		175		6	7
191		101		2	9
140		191		4	8
4		172		12	13
9		28		13	11
176		114		9	10
149		110		1	5
38		53		20	18
38		170		1	5
51		109		11	14
176		67		7	10
54		38		5	9
159		149		6	8
47		25		4	1
99		176		15	10
28		170		1	3
99		67		17	7
137		61		20	16
9		28		9	4
127		19		11	10
9		139		3	14
110		176		7	5
70		81		9	7
92		46		3	5
146		174		7	6
174		61		7	11
109		78		10	13
147		109		5	7
140		110		15	10
154		163		15	7
139		146		20	6
159		176		6	8
51		92		12	9
174		47		3	6
4		114		19	17
78		151		3	0
78		123		12	8
137		53		8	7
140		28		11	6
99		46		3	11
81		101		4	7
114		25		1	4
151		149		7	8
61		19		14	16
7		67		13	11
149		109		12	8
67		110		7	15
139		53		18	11
51		170		8	18
109		175		4	12
99		110		4	5
174		154		5	1
146		4		6	7
78		25		6	4
25		53		3	0
28		147		9	10
54		19		9	6
137		146		7	11
38		110		20	16
28		147		0	3
67		151		6	8
140		114		4	3
101		159		8	2
185		28		11	7
47		154		14	10
7		182		3	2
78		4		8	5
146		28		16	7
154		51		12	3
67		4		11	12
69		114		13	6
25		7		6	4
67		101		2	8
191		9		18	10
4		163		5	6
185		146		15	11
4		174		3	5
25		139		8	16
92		25		5	11
81		176		20	8
182		151		5	15
66		101		10	5
7		81		5	2
7		137		7	6
9		146		12	15
25		92		4	5
46		51		16	8
182		61		2	5
151		7		6	14
182		163		3	2
185		69		16	7
99		7		4	6
149		81		5	18
191		99		15	12
182		28		2	5
127		172		12	14
7		127		3	1
176		151		8	17
182		46		7	12
78		9		14	4
38		92		15	8
185		28		11	3
175		92		10	9
25		4		19	15
70		182		13	6
9		61		6	15
140		149		7	3
159		67		1	4
19		191		12	10
19		61		3	10
70		182		14	9
67		147		9	13
109		47		18	10
163		51		11	3
191		163		6	3
54		146		19	11
159		92		8	7
151		185		3	4
146		69		5	8
25		110		8	6
149		170		2	4
78		66		16	12
25		38		15	18
175		172		15	10
38		38		1	5
175		151		10	9
19		51		15	6
191		154		7	13
4		69		14	11
101		147		4	9
159		140		8	14
54		163		13	5
101		4		8	5
137		110		3	4
151		185		1	5
67		114		3	6
151		191		6	4
99		149		6	5
151		114		20	16
174		149		18	19
114		139		5	4
4		159		17	7
114		19		20	16
7		54		14	15
175		51		9	1
109		154		18	15
149		137		7	9
175		92		5	2
54		53		7	10
137		110		5	8
114		99		8	2
159		92		15	19
99		66		6	17
170		123		18	7
70		53		6	5
46		46		5	9
92		127		10	16
101		154		12	4
163		182		3	0
110		185		10	14
170		4		10	6
109		46		2	6
174		191		9	6
66		123		8	16
101		101		18	15
78		176		11	9
109		127		4	6
146		78		5	12
46		28		18	5
70		176		3	4
7		176		12	11
185		139		13	9
176		54		14	10
137		54		13	20
176		101		5	4
101		53		20	16
163		46		10	7
99		154		6	12
114		154		17	18
78		114		14	4
182		92		19	18
185		47		14	7
67		185		6	10
185		38		18	12
19		81		11	14
182		61		8	10
53		9		14	6
149		51		19	6
47		28		9	2
154		149		14	19
146		7		14	19
154		69		19	17
99		61		0	4
92		101		0	3
28		46		0	5
137		4		4	9
137		127		3	0
109		19		7	11
146		66		7	8
25		19		0	4
28		170		7	4
7		51		17	6
61		123		18	19
19		38		9	7
54		101		8	2
46		25		8	6
185		114		8	4
151		146		10	16
114		66		4	1
47		127		19	8
70		176		8	7
99		53		3	6
9		9		16	5
110		81		2	3
137		137		10	3
123		25		18	20
182		109		7	19
146		28		7	8
185		61		2	9
149		154		16	18
114		109		3	2
139		170		12	10
174		4		1	3
176		185		17	15
146		54		6	10
99		61		7	11
140		78		3	2
81		109		5	0
127		149		14	8
51		51		18	19
92		170		5	3
185		175		9	7
127		101		5	11
19		25		5	3
78		110		4	6
53		109		9	11
61		123		6	2
114		66		4	9
182		175		9	17
137		174		13	18
67		163		15	16
101		139		15	20
53		139		0	6
99		109		11	20
151		163		9	14
25		163		5	2
66		175		1	3
92		170		9	18
101		137		18	10
61		4		17	18
174		163		19	10
66		7		10	17
69		149		16	10
92		149		4	6
151		137		6	9
25		81		13	19
151		9		13	6
163		146		9	1
67		185		14	17
46		78		5	7
81		61		18	13
182		28		8	9
54		146		15	17
25		46		16	18
28		137		11	9
182		25		5	1
38		151		6	1
176		69		13	15
191		9		19	11
9		9		5	12
51		7		2	8
78		149		11	10
163		19		12	11
101		176		6	2
182		149		14	17
4		172		16	13
46		139		9	7
51		182		3	7
81		66		16	9
66		28		5	4
51		163		5	8
81		7		13	9
176		4		15	11
175		123		16	15
81		38		18	11
163		67		6	7
175		185		5	4
4		19		15	11
176		92		17	20
185		139		2	4
163		25		6	14
66		19		19	13
70		146		4	3
149		163		6	2
38		101		3	10
4		47		4	8
114		185		8	10
139		47		14	12
51		7		3	9
92		123		6	14
147		110		10	16
159		28		12	10
149		139		16	20
110		172		3	1
182		172		16	10
185		7		1	3
61		110		9	5
4		110		13	16
67		70		10	9
191		172		14	8
174		99		3	1
81		114		6	11
25		114		5	4
19		176		6	1
101		81		16	12
53		38		15	9
149		182		12	13
109		110		16	19
38		69		3	0
53		146		8	5
174		4		16	10
53		69		0	4
101		46		5	6
69		53		10	7
101		99		6	4
191		66		13	12
61		4		19	7
78		109		9	8
146		147		11	12
109		51		18	14
101		149		20	14
61		146		7	4
78		4		7	10
61		99		17	6
163		175		9	14
47		182		8	10
191		172		3	1
51		114		9	12
139		51		20	9
172		78		2	7
66		61		7	10
69		25		18	15
176		7		6	14
47		78		4	7
28		174		1	6
176		7		9	12
182		147		6	16
92		66		5	12
69		109		9	12
69		69		0	3
53		114		15	6
163		46		4	10
70		101		1	6
25		47		14	13
78		140		9	10
175		174		3	2
109		182		3	5
101		137		20	11
19		46		5	9
149		151		6	7
81		67		12	8
66		69		17	9
175		81		13	20
172		101		0	4
170		146		11	6
19		61		8	10
78		38		11	9
46		127		16	7
92		70		1	3
109		123		2	6
114		69		14	9
38		25		9	7
185		146		12	11
69		19		9	10
61		170		17	11
127		191		10	15
46		70		16	15
191		159		5	3
172		69		2	5
66		127		14	7
175		137		6	15
46		159		2	5
170		66		15	5
78		109		20	17
172		175		8	15
159		146		3	12
61		175		16	20
163		172		16	20
19		185		6	8
99		123		3	5
101		28		16	8
81		25		1	10
185		151		4	1
191		149		5	2
54		139		15	16
149		154		10	12
70		146		18	15
154		47		4	6
163		174		13	14
114		147		14	17
47		127		4	1
9		172		4	17
66		46		11	20
172		146		18	14
146		47		7	2
28		185		16	12
81		54		2	4
28		175		5	3
175		191		17	11
53		67		15	11
175		38		8	6
127		70		9	12
92		46		4	18
182		172		9	20
123		114		16	15
127		81		10	19
70		25		13	16
163		38		2	4
9		149		7	6
147		176		5	7
61		174		9	2
92		81		1	5
176		123		8	18
19		4		15	11
123		175		5	6
172		191		2	5
185		70		7	4
127		146		14	13
191		92		2	7
47		69		15	20
109		70		7	14
140		25		16	8
163		69		16	17
174		172		3	8
4		191		9	7
151		99		19	8
137		147		11	17
139		147		2	4
110		92		3	1
61		19		17	13
137		109		8	12
139		81		9	13
70		78		12	13
9		185		12	18
163		159		16	19
46		137		14	7
47		69		5	1
69		149		4	2
154		19		8	6
51		99		8	16
28		92		0	3
70		7		15	14
139		99		10	5
147		174		10	7
175		159		3	7
101		174		3	4
170		163		14	19
170		101		4	14
53		139		7	5
139		46		17	8
19		9		19	9
127		174		12	9
110		38		13	9
69		146		9	6
151		51		4	6
182		172		9	10
81		191		3	5
110		114		13	11
140		170		3	1
174		110		5	10
127		47		12	19
53		154		18	20
185		175		6	9
110		170		16	19
66		163		19	14
191		70		5	6
99		70		11	14
25		147		17	20
69		61		7	10
101		25		13	9
114		81		12	15
9		53		0	5
159		66		4	1
109		127		3	5
147		47		14	10
47		140		13	16
28		28		13	14
146		154		4	1
123		176		13	7
66		174		8	17
53		66		19	8
78		170		16	15
54		151		3	0
127		174		9	16
182		159		4	7
170		149		8	7
147		99		11	8
101		70		0	3
70		172		4	3
9		67		1	5
78		137		5	4
46		25		13	11
99		4		9	10
163		19		19	20
38		175		8	11
147		174		19	12
110		140		3	0
110		67		15	10
69		140		7	18
154		123		12	20
7		92		12	4
54		175		10	5
159		146		11	14
154		182		17	8
137		99		10	17
25		137		10	6
53		174		11	7
53		163		17	13
151		147		4	8
109		149		2	3
149		53		6	7
101		172		8	9
147		67		13	8
78		139		14	19
175		137		19	20
61		25		17	5
151		170		2	4
109		101		17	19
146		69		6	14
174		149		17	11
147		69		13	20
140		109		8	6
139		47		7	9
151		67		14	8
176		46		4	12
191		7		5	11
19		163		16	19
174		175		12	17
28		174		6	4
114		7		3	0
67		139		3	4
114		176		7	6
163		159		20	17
172		70		9	19
123		4		15	8
67		182		10	5
172		61		2	4
182		70		11	18
19		149		3	5
110		172		5	1
139		110		15	10
114		7		14	13
78		147		11	12
99		140		14	16
19		109		4	3
61		7		18	6
19		7		20	17
67		9		15	13
163		172		9	6
185		123		9	10
47		70		18	14
151		159		11	14
114		92		20	7
81		61		20	16
109		176		12	6
172		81		1	4
127		170		12	17
81		109		11	6
109		61		5	6
51		54		3	2
67		123		5	10
140		147		8	13
47		101		14	15
146		109		3	6
78		53		6	5
172		38		5	8
99		69		19	16
54		67		5	4
7		114		17	19
185		110		10	18
19		69		16	13
66		53		13	11
4		81		8	15
170		47		0	3
66		139		9	18
61		127		8	2
170		92		7	8
151		61		20	19
110		170		6	4
140		78		3	5
170		175		7	14
139		54		10	9
38		123		5	13
7		4		2	6
7		78		8	12
146		127		19	16
81		146		6	4
137		172		9	10
51		146		11	19
172		140		6	13
175		67		5	3
46		146		11	2
175		99		12	3
191		114		14	13
174		99		19	16
114		7		4	14
154		92		17	13
4		137		11	10
182		174		5	12
69		67		8	7
146		109		19	17
70		53		11	7
54		66		15	14
170		4		9	8
154		66		4	6
51		19		5	6
123		46		6	2
101		7		20	10
185		140		13	14
9		182		19	18
191		137		9	8
61		172		19	8
81		163		19	13
139		81		7	2
191		69		5	1
19		53		11	16
7		154		18	6
9		70		3	16
7		78		7	2
101		175		15	11
46		101		15	19
137		146		8	16
109		170		20	19
149		81		10	20
78		70		2	11
139		146		10	7
114		51		5	6
127		176		9	10
163		78		6	10
149		163		10	3
185		163		11	8
99		28		15	19
139		175		18	19
7		54		3	2
81		123		9	2
25		28		15	8
101		137		14	9
101		139		11	15
51		101		12	17
182		78		15	19
19		170		2	14
123		66		1	3
7		185		12	13
4		46		13	20
99		54		8	6
182		54		9	18
81		61		17	19
182		38		2	3
163		151		19	15
61		54		2	8
163		114		8	2
147		175		8	7
137		154		6	4
78		159		9	4
110		51		6	10
28		99		5	4
140		123		3	2
46		146		7	3
151		61		6	13
185		46		2	6
191		114		20	16
175		78		2	5
92		172		5	6
140		110		3	4
163		67		4	5
163		66		11	13
159		170		11	15
54		66		17	11
149		67		8	5
170		78		1	8
69		46		1	4
67		175		14	19
47		99		6	1
92		123		7	13
191		67		16	7
109		127		14	13
67		66		14	18
51		114		3	6
25		191		16	14
139		172		13	2
38		140		8	12
19		4		20	10
139		110		16	8
159		176		12	15
38		38		20	18
54		140		8	12
123		19		9	8
28		69		1	3
54		67		10	7
170		163		15	11
147		46		5	3
170		51		15	5
176		70		4	11
114		109		8	13
54		66		6	2
46		9		20	3
110		4		16	8
67		159		8	3
170		81		1	4
139		151		11	6
182		7		3	18
110		147		1	4
149		25		12	16
19		140		1	4
4		53		11	8
51		92		17	14
159		147		14	17
7		92		16	8
99		28		15	12
191		175		11	19
66		163		3	8
114		51		10	11
154		159		8	7
172		81		8	14
7		53		14	16
139		7		13	11
172		38		14	16
176		151		3	0
146		66		12	14
92		69		10	16
140		61		1	10
54		7		8	3
38		163		7	5
137		174		10	17
54		163		20	13
191		185		7	12
61		159		14	5
101		176		7	8
70		53		7	4
151		53		1	3
81		92		17	10
4		19		6	5
7		114		5	6
109		38		4	0
147		137		8	13
170		137		20	11
149		182		7	1
146		38		9	11
54		28		13	6
182		109		11	15
170		67		14	2
9		175		5	18
137		67		1	3
170		182		16	9
147		78		7	5
61		163		15	7
185		47		13	11
47		185		16	5
25		78		7	5
191		51		5	4
99		46		6	9
61		25		7	3
101		70		16	15
176		81		5	3
19		175		9	14
46		172		5	2
38		149		5	1
182		38		0	4
51		154		15	18
146		182		15	6
172		25		10	20
175		7		12	11
19		185		5	11
159		53		6	15
185		191		11	6
176		38		7	16
69		154		6	3
19		28		9	13
174		28		9	3
38		149		3	1
147		174		7	3
51		182		8	4
46		92		10	2
140		25		12	14
92		109		5	8
92		53		1	4
4		114		8	11
99		28		11	12
67		137		9	10
149		70		8	20
78		47		1	3
19		191		10	14
151		110		4	14
114		127		10	6
172		176		5	8
151		172		4	3
147		123		5	4
127		28		0	7
25		175		5	3
146		123		2	9
78		61		14	7
185		175		8	12
99		139		6	17
9		69		6	9
163		61		5	9
47		147		6	15
78		185		16	18
54		127		11	4
66		137		3	7
7		185		11	9
182		123		4	10
154		54		6	7
67		19		14	12
46		99		11	8
28		47		2	3
146		9		20	14
67		51		6	1
140		139		11	17
174		19		20	16
176		159		16	12
139		151		15	6
70		137		4	3
46		159		14	7
78		7		4	2
127		109		3	5
159		4		7	4
28		4		3	4
109		61		9	19
147		137		6	1
110		78		6	3
137		123		12	16
154		109		3	1
175		4		5	0
46		47		8	1
19		7		1	5
54		110		6	5
191		109		17	20
175		81		0	3
70		182		2	3
109		25		3	2
149		69		13	8
139		149		6	2
151		170		18	17
185		69		13	10
149		70		9	6
25		147		3	14
123		149		12	16
146		78		3	1
123		69		20	10
69		9		16	8
109		146		8	13
28		81		8	17
51		174		7	16
174		149		8	10
163		139		10	11
123		78		2	7
170		123		6	9
46		70		4	7
51		99		2	5
191		67		10	5
38		46		16	18
127		25		15	20
140		191		9	16
127		99		8	9
123		114		11	16
182		4		13	12
46		185		12	11
7		92		7	5
185		191		15	10
101		146		5	0
78		170		9	19
123		114		4	1
7		9		3	2
47		38		10	8
78		176		20	10
99		175		7	11
123		109		14	17
53		146		14	15
47		170		5	7
149		47		1	5
185		67		10	15
51		172		3	7
7		7		17	19
38		28		14	8
114		147		11	15
101		176		4	2
69		69		3	2
127		123		5	6
67		7		6	3
147		147		9	11
137		92		18	11
81		69		12	5
69		7		1	3
114		38		5	3
61		53		11	8
28		109		3	1
46		46		18	20
123		147		19	20
172		174		3	10
61		7		4	10
154		53		3	2
28		146		10	16
170		7		5	6
81		9		14	3
147		46		9	6
70		101		4	13
185		139		6	14
191		176		11	5
46		54		16	15
172		174		14	18
67		140		11	16
78		140		11	3
69		78		9	11
53		146		7	8
176		9		3	1
170		185		12	5
109		66		15	19
28		149		6	4
147		46		8	6
101		101		18	8
163		46		16	19
25		149		9	12
191		61		5	3
191		51		3	4
92		38		1	6
140		28		13	10
175		81		3	5
175		174		5	3
110		4		17	10
51		61		1	6
154		176		11	16
175		38		11	7
99		25		12	15
109		170		9	6
149		191		2	10
28		172		7	10
69		185		7	14
191		139		5	9
78		19		4	2
99		123		10	16
172		19		2	6
99		81		11	19
176		25		4	5
38		92		11	3
175		99		3	5
4		140		7	2
38		149		14	6
67		123		2	10
159		19		12	16
81		174		16	17
159		61		17	20
28		170		8	11
67		81		2	13
175		175		19	14
109		185		3	2
185		191		11	5
47		9		13	8
140		110		10	14
154		7		3	5
176		123		3	7
38		127		10	12
101		54		9	19
114		99		18	13
9		109		0	4
182		146		9	19
174		137		4	1
163		4		2	3
67		19		5	6
172		99		4	16
146		109		6	2
70		147		18	19
159		53		13	14
92		137		14	10
7		154		12	9
137		61		7	12
19		81		7	18
61		137		13	14
170		127		6	1
123		151		3	4
176		159		4	2
47		81		6	4
191		99		8	6
4		67		8	11
51		99		8	12
25		7		5	9
81		4		13	8
170		182		11	4
159		92		5	14
185		114		20	12
66		70		9	6
25		54		14	15
53		53		15	13
92		151		2	4
174		170		7	10
149		69		20	19
151		110		8	7
147		174		18	16
78		38		2	3
151		19		20	14
67		151		7	10
19		81		6	18
170		137		15	20
54		151		7	6
46		53		11	14
53		92		15	12
159		159		16	6
28		110		1	4
101		174		0	4
175		46		3	1
127		69		4	5
47		147		6	10
25		67		17	16
154		146		11	6
9		66		10	16
54		4		12	10
61		66		20	15
54		110		5	4
123		46		1	4
159		151		5	10
47		69		15	10
159		185		8	18
139		139		10	7
9		151		5	8
146		185		8	20
51		149		6	8
53		123		17	6
70		163		16	14
78		139		5	7
151		4		7	3
101		123		8	10
7		154		12	5
53		114		7	4
28		51		6	8
51		163		5	15
140		81		4	5
25		182		6	3
53		61		8	13
66		92		18	9
92		114		15	19
137		176		8	15
7		9		5	1
54		176		7	3
78		147		6	1
46		46		18	17
110		109		9	10
54		149		10	9
9		78		4	9
9		70		3	11
159		70		3	8
139		140		3	0
47		92		9	4
172		46		2	5
69		149		17	19
28		114		4	10
137		110		15	16
123		78		20	9
154		99		10	13
53		170		11	20
81		149		10	17
109		67		7	6
176		114		4	1
151		66		7	5
81		139		17	19
70		127		5	2
38		69		14	18
149		99		14	15
185		9		19	4
175		137		15	11
19		147		11	15
99		81		3	7
101		66		18	16
110		170		11	12
81		114		13	2
66		69		7	9
19		149		4	6
140		123		11	3
61		154		17	8
46		109		14	8
140		47		9	14
139		147		4	1
172		47		3	6
66		38		4	9
170		163		4	5
114		159		6	3
127		66		3	5
182		70		12	19
54		182		7	2
47		140		16	13
51		146		7	15
66		54		12	14
149		127		7	5
4		123		9	11
46		54		14	11
46		46		12	14
191		149		17	9
140		7		6	10
110		151		10	14
185		191		6	5
7		38		14	8
159		182		1	3
149		69		15	9
61		175		1	3
101		172		17	15
109		147		12	19
78		146		9	5
154		149		2	5
69		19		7	12
4		149		6	5
28		99		17	9
109		54		11	18
99		139		8	14
174		4		18	19
175		99		5	1
46		154		8	0
172		81		6	16
123		159		4	2
163		25		15	14
151		46		2	7
175		28		15	8
163		28		9	4
139		53		9	5
7		147		12	13
78		7		16	14
172		114		16	13
81		172		7	8
176		19		13	14
25		54		13	17
69		81		2	14
163		61		1	6
92		174		2	9
172		185		4	19
140		46		1	7
170		137		19	20
92		147		6	10
70		99		7	2
159		139		10	17
38		70		12	15
146		7		4	5
81		69		10	8
66		185		14	13
69		174		14	19
19		51		3	0
154		176		3	5
109		149		3	1
146		182		12	18
170		191		17	16
127		92		15	7
185		123		18	17
19		67		10	6
140		175		9	15
146		172		0	3
9		170		1	9
163		19		3	1
127		19		8	3
4		159		16	6
70		151		3	0
182		149		11	16
69		154		14	19
182		176		9	4
69		19		4	3
151		28		15	8
163		163		5	1
53		170		16	14
110		182		16	6
69		54		4	2
81		146		17	9
7		170		4	3
176		7		6	10
139		99		4	3
139		175		7	8
172		147		4	11
139		172		7	4
61		154		4	0
185		154		7	3
54		175		7	9
47		19		7	9
154		92		6	9
78		163		7	5
185		99		12	7
78		61		16	15
170		163		6	13
110		70		6	10
175		109		8	3
127		46		2	13
66		154		12	2
28		185		9	11
92		137		8	9
54		38		5	6
66		110		15	12
67		101		3	7
170		38		12	11
146		51		16	9
159		146		12	20
140		182		8	2
66		66		18	17
176		54		10	12
163		154		4	0
46		114		4	2
81		147		8	3
53		54		17	12
70		146		7	5
110		139		0	3
174		151		4	15
66		170		11	12
53		137		13	12
25		154		20	10
67		46		3	9
99		114		4	1
170		185		16	13
185		149		17	15
163		140		2	3
69		172		14	6
137		137		5	8
149		176		4	1
147		185		3	1
147		46		5	16
172		172		12	8
137		191		6	16
7		182		5	3
53		99		13	15
154		123		3	8
174		127		15	8
176		81		15	16
61		28		4	1
78		146		14	13
9		114		0	12
101		174		7	5
81		47		9	6
185		154		1	5
4		25		8	10
47		172		4	0
123		9		5	0
54		4		9	16
7		101		6	3
109		38		2	5
123		182		7	10
154		92		12	7
182		182		8	6
146		159		16	9
110		146		17	7
191		176		4	3
67		149		2	5
9		92		15	13
47		70		7	5
110		137		11	7
174		38		12	10
78		191		9	6
54		25		15	14
70		25		19	16
51		175		3	20
191		54		4	7
38		147		1	6
53		170		3	1
163		182		6	11
53		7		4	7
28		159		19	14
51		70		3	17
110		175		2	5
67		51		12	7
101		38		3	1
38		146		2	3
46		67		3	6
174		182		5	8
25		176		11	13
38		99		15	17
66		46		19	14
176		174		6	4
109		163		5	3
149		182		8	5
175		123		19	17
139		176		10	4
66		25		12	11
185		28		12	4
46		66		14	5
159		28		14	20
25		149		18	16
123		146		5	3
185		61		12	13
127		175		14	17
67		140		1	4
137		70		0	4
114		78		8	15
